# Position Log - Manual Test Lap
# Format: RL_STATE|time|position|lap|split|posX|posY|speed|turnSpeed|angle|rank|coins
#
RL_STATE|99.0794|123|4|0|0.318422|0.397994|0.132466|-1.87833|2.47834|2|2
RL_STATE|99.096|122|4|0|0.316687|0.399349|0.131788|-1.87833|2.44704|2|2
RL_STATE|99.1127|122|4|0|0.315003|0.400751|0.13111|-1.87833|2.41573|2|2
RL_STATE|99.1294|122|4|0|0.313373|0.402198|0.130432|-1.87833|2.38443|2|2
RL_STATE|99.146|122|4|0|0.311798|0.403687|0.129754|-1.87833|2.35312|2|2
RL_STATE|99.1627|122|4|0|0.310277|0.405217|0.129076|-1.87833|2.32182|2|2
RL_STATE|99.196|121|4|0|0.307399|0.408399|0.129126|-1.87833|2.25921|2|2
RL_STATE|99.2127|121|4|0|0.306028|0.410066|0.12984|-1.87833|2.22791|2|2
RL_STATE|99.2294|121|4|0|0.304702|0.411784|0.13054|-1.87833|2.1966|2|2
RL_STATE|99.246|121|4|0|0.303425|0.413552|0.131229|-1.87833|2.1653|2|2
RL_STATE|99.2627|120|4|0|0.302196|0.415368|0.131904|-1.87833|2.13399|2|2
RL_STATE|99.2794|120|4|0|0.30102|0.417231|0.132567|-1.87833|2.10269|2|2
RL_STATE|99.296|120|4|0|0.299897|0.41914|0.133218|-1.87833|2.07138|2|2
RL_STATE|99.3127|120|4|0|0.298828|0.421093|0.133857|-1.87833|2.04008|2|2
RL_STATE|99.3294|119|4|0|0.297817|0.423087|0.134485|-1.87833|2.00878|2|2
RL_STATE|99.346|120|4|0|0.296864|0.425122|0.135101|-1.87833|1.97747|2|2
RL_STATE|99.3627|120|4|0|0.295972|0.427194|0.135705|-1.87833|1.94617|2|2
RL_STATE|99.3794|120|4|0|0.295141|0.429303|0.136299|-1.87833|1.91486|2|2
RL_STATE|99.396|120|4|0|0.294373|0.431446|0.136882|-1.87833|1.88356|2|2
RL_STATE|99.4127|120|4|0|0.293669|0.433621|0.137454|-1.87833|1.85225|2|2
RL_STATE|99.4294|120|4|0|0.293032|0.435826|0.138016|-1.87833|1.82095|2|2
RL_STATE|99.446|120|4|0|0.292461|0.438059|0.138567|-1.87833|1.78965|2|2
RL_STATE|99.4627|120|4|0|0.291959|0.440318|0.139109|-1.87833|1.75834|2|2
RL_STATE|99.4794|120|4|0|0.291526|0.4426|0.13964|-1.87833|1.72704|2|2
RL_STATE|99.496|120|4|0|0.291163|0.444903|0.140162|-1.87833|1.69573|2|2
RL_STATE|99.5127|120|4|0|0.290871|0.447225|0.140674|-1.87833|1.66443|2|2
RL_STATE|99.5294|120|4|0|0.290652|0.449564|0.141177|-1.87833|1.63312|2|2
RL_STATE|99.546|120|4|0|0.290505|0.451916|0.141671|-1.87833|1.60182|2|2
RL_STATE|99.5627|120|4|0|0.290432|0.45428|0.142155|-1.87833|1.57052|2|2
RL_STATE|99.5794|120|4|0|0.290432|0.456653|0.142631|-1.87833|1.53921|2|2
RL_STATE|99.596|120|4|0|0.290508|0.459033|0.143098|-1.87833|1.50791|2|2
RL_STATE|99.6127|120|4|0|0.290658|0.461417|0.143557|-1.87833|1.4766|2|2
